X,Y,Z,T,M
52.09682,0.07216,-50.82198,3827.02,1.9699336
70.15358,0.12179,35.61908,3827.02,1.9507277
66.40084,0.1496,112.99578,3827.02,0.5926227
35.55067,0.08864,-47.34518,3827.02,2.6281483
146.35548,0.46425,147.6562,3827.02,-0.22927462
110.31033,0.51821,-126.05163,3827.02,-0.41012836
142.89401,0.82342,170.18617,3827.02,-0.5139374
109.29017,0.63672,-131.81786,3827.02,-0.63793576
15.15471,0.10563,-65.98685,3827.02,0.62690246
559.75916,3.94939,1019.18414,3827.02,-4.7475076
18.56152,0.13404,63.11661,3827.02,2.4092178
301.5595,2.27737,275.05258,3827.02,-1.8041695
125.13442,0.9959,-6.6184,3827.02,-0.35998553
126.52163,1.08197,-13.32964,3827.02,-1.1528872
11.04175,0.1041,5.64682,3827.02,5.3324833
135.68901,1.38066,-77.46384,3827.02,-0.92910016
130.82803,1.37167,20.62123,3827.02,0.7197347
37.27834,0.406,5.56202,3827.02,2.8186862
258.04587,2.9291,582.3227,3827.02,-3.1505017
58.12741,0.75004,-21.21136,3827.02,2.2922068
134.57626,1.83821,-60.33177,3827.02,0.6161485
477.36758,7.14202,963.4688,3827.02,-3.9175854
66.69789,1.08839,-20.82279,3827.02,0.32819816
119.4241,2.01181,277.50168,3827.02,-1.09086
522.4197,9.63814,994.7118,3827.02,-4.3530498
84.89861,1.60395,-25.19918,3827.02,1.0434697
112.53923,2.13055,-63.08489,3827.02,0.8265085
484.2537,9.51383,-89.85145,3827.02,-3.4725199
382.42926,7.69346,345.53107,3827.02,-2.4509914
55.83911,1.14225,-166.31113,3827.02,-0.6306257
37.66745,0.77213,89.47919,3827.02,0.7441861
30.25602,0.64525,20.92343,3827.02,3.2612472
167.33438,3.60166,83.9926,3827.02,-0.11229371
116.04005,2.54157,60.87189,3827.02,0.8826227
143.84422,3.17842,-1.26291,3827.02,0.52992404
106.64238,2.37452,194.94737,3827.02,-0.93393743
39.19512,0.91269,-3.91866,3827.02,1.6324581
111.14173,2.76424,26.47826,3827.02,0.26004025
10.61349,0.28992,17.28321,3827.02,4.4442344
16.79028,0.46247,-19.37355,3827.02,3.655323
131.06004,3.68494,271.17157,3827.02,-1.8243096
11.97684,0.34546,6.64763,3827.02,5.386019
35.9266,1.07157,-15.33631,3827.02,3.2303514
152.8563,4.8735,-47.88858,3827.02,0.17592295
149.24393,5.03889,-6.64698,3827.02,0.5571306
74.15988,2.51874,-30.7486,3827.02,1.4058467
83.1425,2.92469,-55.12613,3827.02,0.6743386
307.21475,10.99866,-13.14074,3827.02,-1.2605832
100.87,3.65137,-15.66907,3827.02,0.94391346
25.99003,0.95143,14.4701,3827.02,-0.2983036
207.60413,7.74656,411.34454,3827.02,-1.9077014
393.6537,14.7066,-124.79526,3827.02,-1.9709232
26.50217,1.00464,19.71609,3827.02,3.6143446
115.96252,4.48919,55.26038,3827.02,0.694898
101.76085,3.99936,54.71469,3827.02,1.1550806
84.97473,3.35313,27.97979,3827.02,0.81026584
83.90006,3.31078,-115.57673,3827.02,0.5454902
8.55533,0.34242,14.33485,3827.02,1.1667715
20.84145,0.84896,114.94517,3827.02,0.6723688
60.55675,2.472,-32.209,3827.02,1.2372978
29.95017,1.23028,-30.7674,3827.02,0.71491486
63.02035,2.71523,-120.13133,3827.02,0.67733747
97.62926,4.27812,19.25363,3827.02,0.54866856
10.04987,0.44044,-73.66576,3827.02,0.9336114
54.71941,2.46425,-5.03167,3827.02,2.1379695
213.90343,9.63913,222.28871,3827.02,-2.437275
63.51319,2.97088,-14.18887,3827.02,1.7705419
18.1832,0.89448,-5.03756,3827.02,3.5089197
157.47862,7.95934,-83.13426,3827.02,-0.8451857
17.81337,0.91263,-12.5514,3827.02,3.5466967
112.35077,5.88012,125.61916,3827.02,0.045273468
178.2456,9.47077,-57.78448,3827.02,-1.0763639
98.41495,5.69,26.75313,3827.02,-2.2160866
21.77806,1.26771,-249.04639,3827.02,-1.2097
110.09679,6.444,56.16312,3827.02,0.7770568
26.35593,1.55608,22.97968,3827.02,2.9895513
278.57718,16.677,-136.24802,3827.02,-1.5207206
211.58199,12.69967,-104.68941,3827.02,-0.7282982
75.03477,4.60184,49.20503,3827.02,1.4524758
189.79318,11.99055,-25.98445,3827.02,-1.2858114
93.56129,5.96909,34.50628,3827.02,-0.20782961
142.59381,9.1215,-49.01164,3827.02,-1.45571
104.68073,6.8191,-17.6856,3827.02,0.63563925
100.58289,6.56221,41.30739,3827.02,1.0642134
185.5694,12.13856,-129.7519,3827.02,-0.60780704
79.07475,5.17579,12.29738,3827.02,1.4993323
344.3162,22.74189,211.75314,3827.02,-1.6965152
111.96991,7.42521,57.87793,3827.02,0.8436259
83.96496,5.83993,151.84398,3827.02,0.23211242
52.44746,3.64807,-209.48625,3827.02,-0.18209505
111.38911,7.8606,-68.28529,3827.02,0.07546679
42.65573,3.02606,184.5031,3827.02,-0.036830388
67.19876,4.80459,64.1449,3827.02,1.2770423
133.75218,9.6858,19.42048,3827.02,0.46028182
175.59857,12.82258,-64.8148,3827.02,0.13363604
93.57212,6.93343,173.04988,3827.02,-0.7306814
60.43946,4.51589,48.5243,3827.02,0.15957932
195.30344,14.64266,217.11415,3827.02,-1.4698695
46.04101,3.53151,-15.94582,3827.02,3.0155892
1090.4667,84.47049,1371.7205,3827.02,-5.1106257
100.76384,7.8392,2.97969,3827.02,1.1659814
134.31491,10.74051,26.69531,3827.02,0.3806569
